snifphttp01Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=3786424 SECOND
snifpbeta01Node01,beta01,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpbeta01Node01,beta01,JVM Runtime,CountStatistic,FreeMemory=317774 KILOBYTE
snifpbeta01Node01,beta01,JVM Runtime,CountStatistic,UsedMemory=1529520 KILOBYTE
snifpbeta01Node01,beta01,JVM Runtime,CountStatistic,UpTime=28439 SECOND
snifpbeta01Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpbeta01Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=36390 KILOBYTE
snifpbeta01Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=28463 SECOND
snifpprod02Node01,prod02,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpprod02Node01,prod02,JVM Runtime,CountStatistic,FreeMemory=1683011 KILOBYTE
snifpprod02Node01,prod02,JVM Runtime,CountStatistic,UsedMemory=164282 KILOBYTE
snifpprod02Node01,prod02,JVM Runtime,CountStatistic,UpTime=122080 SECOND
snifpprod02Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpprod02Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=40954 KILOBYTE
snifpprod02Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=122105 SECOND
snifphttp02Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifphttp02Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=33257 KILOBYTE
snifphttp02Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=799772 SECOND
snifpload01Node01,load01,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpload01Node01,load01,JVM Runtime,CountStatistic,UsedMemory=65524 KILOBYTE
snifpload01Node01,load01,JVM Runtime,CountStatistic,UpTime=3385282 SECOND
snifpload01Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpload01Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=52116 KILOBYTE
snifpload01Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=3385310 SECOND
snifpprod01Node01,prod01,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpprod01Node01,prod01,JVM Runtime,CountStatistic,FreeMemory=1684033 KILOBYTE
snifpprod01Node01,prod01,JVM Runtime,CountStatistic,UsedMemory=163260 KILOBYTE
snifpprod01Node01,prod01,JVM Runtime,CountStatistic,UpTime=35651 SECOND
snifpprod01Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpprod01Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=39709 KILOBYTE
snifpprod01Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=35677 SECOND
snifpbeta02Node01,beta02,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpbeta02Node01,beta02,JVM Runtime,CountStatistic,FreeMemory=1555235 KILOBYTE
snifpbeta02Node01,beta02,JVM Runtime,CountStatistic,UsedMemory=292059 KILOBYTE
snifpbeta02Node01,beta02,JVM Runtime,CountStatistic,UpTime=114868 SECOND
snifpbeta02Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpbeta02Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=31054 KILOBYTE
snifpbeta02Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=114891 SECOND
snifpload02Node01,load02,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpload02Node01,load02,JVM Runtime,CountStatistic,UsedMemory=51050 KILOBYTE
snifpload02Node01,load02,JVM Runtime,CountStatistic,UpTime=798585 SECOND
snifpload02Node01,nodeagent,JVM Runtime,BoundedRangeStatistic,HeapSize= KILOBYTE
snifpload02Node01,nodeagent,JVM Runtime,CountStatistic,UsedMemory=55150 KILOBYTE
snifpload02Node01,nodeagent,JVM Runtime,CountStatistic,UpTime=798604 SECOND
