 TRANSACTION, COUNT,CICS, RESP,CPU, SQLCNT,TOTCPU ,MQ-ACTIVITY,DB2-ACTIVITY,DESCRIPTION,TERMINAL,VSAM,RACF 
LOGO , 1 ,  CICP ,  1, 2 , 0  , 2 ,  
  LOGO , 1 ,  **** ,  1, 2 , 0  , 2 ,  , , סיסטם                                      ,22 3270  , , , 
  AADB , 2 ,  CICM ,  654, 95 , 64  , 190 ,  
  AADB , 2 ,  CICP ,  77, 7 , 1  , 14 ,  
  AADB , 4 ,  **** ,  366, 51 , 32  , 204 ,  , ,                                            ,MQ or START  , , , 
  AADF , 15 ,  CICL ,  397, 19 , 0  , 285 ,  
  AADF , 15 ,  CICP ,  480, 4 , 0  , 60 ,  
  AADF , 30 ,  **** ,  434, 12 , 0  , 360 ,  , ,                                            ,2 3270  , ,TPIKUH READ T111 READ T060 READ E503 READ T557 READ T843 READ T489 READ T443 READ T642 READ T907 READ T908 READ T731 READ NETIK READ T781 READ T036 READ T984 READ T580 READ  , 
  AAON , 1 ,  CICE ,  86396660, 0 , 0  , 0 ,  
  AAON , 1 ,  CICL ,  86399889, 0 , 0  , 0 ,  
  AAON , 1 ,  CICM ,  86396654, 0 , 0  , 0 ,  
  AAON , 1 ,  CICP ,  86399338, 8 , 0  , 8 ,  
  AAON , 4 ,  **** ,  86398135, 2 , 0  , 8 ,  , ,                                            ,MQ or START  , ,MMU READ CICSPU READ CICSDFP READ SNIFP READ PMCPOPER READ S READ TPIKUH READ OPR1 READ TTCRMD READ  , 
  AARB , 2 ,  CICP ,  0, 4 , 0  , 8 ,  
  AARB , 2 ,  **** ,  0, 4 , 0  , 8 ,  , ,                                            ,MQ or START  , , , 
  ADYN , 6 ,  CICE ,  5, 9 , 0  , 54 ,  
  ADYN , 6 ,  CICL ,  5, 10 , 0  , 60 ,  
  ADYN , 6 ,  CICM ,  5, 10 , 0  , 60 ,  
  ADYN , 6 ,  CICP ,  5, 10 , 0  , 60 ,  
  ADYN , 24 ,  **** ,  5, 10 , 0  , 240 ,  , ,                                            ,4 3270  , , , 
  AIFR , 19 ,  CICP ,  333, 95 , 15  , 1805 ,  
